"","iteraciones","distancia","masa"
"1473",23,0.00103968173002051,"4"
"1474",24,8.09073280039202e-05,"10"
"1475",25,0.000249037912275153,"7"
"1476",26,0.00011021918492732,"24"
"1477",27,0.000320121429195257,"35"
"1478",28,0.000574912838542546,"14"
"1479",29,0.000527232865663396,"22"
"1480",30,0.000231781197407866,"52"
"1481",31,0.000192116497248219,"77"
"1482",32,3.58298884656781e-05,"49"
"1483",33,3.83277496694709e-05,"24"
"1484",34,0.000215384171147484,"27"
"1485",35,0.000552336051219955,"20"
"1486",36,8.86898145270973e-05,"158"
"1487",37,3.67600160383284e-05,"136"
"1488",38,0.000144053991812149,"48"
"1489",39,0.000194074555594559,"105"
"1490",40,0.000189478522670906,"21"
"1491",41,0.00155240960468699,"2"
"1492",42,0.000220696854615379,"45"
"1493",43,1.33556495674542e-05,"42"
"1494",44,0.00026849607369371,"59"
"1495",45,0.000149335820251678,"69"
"1496",46,0.00016890558638567,"40"
"1497",47,0.000247469450380695,"62"
"1498",48,0.000214731238448283,"10"
"1499",49,0.000203898004900907,"26"
"1500",50,4.50771032121133e-05,"104"
"1501",1,0.00650301221688491,"1"
"1502",2,0.000196599355927452,"20"
"1503",3,0.000128230515342892,"24"
"1504",4,0.000120954920858219,"24"
"1505",5,0.000360259459000195,"10"
"1506",6,0.000175694253286389,"96"
"1507",7,0.000612346978019439,"15"
"1508",8,0.000172565887658738,"52"
"1509",9,7.24783456972211e-05,"86"
"1510",10,0.000830826451600933,"10"
"1511",11,0.000268573234182268,"58"
"1512",12,0.000159001872970775,"47"
"1513",13,0.000948844465965877,"4"
"1514",14,8.26825425993296e-05,"75"
"1515",15,0.000169855626292276,"20"
"1516",16,0.000426072878798557,"29"
"1517",17,0.000159958923433394,"69"
"1518",18,0.000216106870208096,"61"
"1519",19,0.000169249899405167,"60"
"1520",20,2.59093882727437e-05,"52"
"1521",21,8.5776732191689e-05,"27"
"1522",22,0.00113672536078697,"5"
"1523",23,0.00103851015370156,"4"
"1524",24,8.09290893438384e-05,"10"
"1525",25,0.000249132443367366,"7"
"1526",26,0.000110366292761103,"24"
"1527",27,0.000320133206832505,"35"
"1528",28,0.0005732281094023,"14"
"1529",29,0.000527301630189148,"22"
"1530",30,0.000231951964052231,"52"
"1531",31,0.000192044572303391,"77"
"1532",32,3.55319565839432e-05,"49"
"1533",33,3.84257446458826e-05,"24"
"1534",34,0.000215606265858574,"27"
"1535",35,0.00055251959359989,"20"
"1536",36,8.87832102832338e-05,"158"
"1537",37,3.69028790439212e-05,"136"
"1538",38,0.00014411098368278,"48"
"1539",39,0.000194064639507017,"105"
"1540",40,0.000189631938457362,"21"
"1541",41,0.00151841955646887,"2"
"1542",42,0.000220855863191913,"45"
"1543",43,1.40155662733657e-05,"42"
"1544",44,0.000268668082493876,"59"
"1545",45,0.000149561554035588,"69"
"1546",46,0.000169317230221405,"40"
"1547",47,0.000247131393747699,"62"
"1548",48,0.000214161562212363,"10"
"1549",49,0.000203999252355037,"26"
"1550",50,4.52481987582165e-05,"104"
"1551",1,0.00640634447075548,"1"
"1552",2,0.00019689717008367,"20"
"1553",3,0.000127873887941432,"24"
"1554",4,0.000120695347933557,"24"
"1555",5,0.000359265382964748,"10"
"1556",6,0.000175632298498391,"96"
"1557",7,0.000612621569968708,"15"
"1558",8,0.000172678471288862,"52"
"1559",9,7.25795586581503e-05,"86"
"1560",10,0.000831362604519284,"10"
"1561",11,0.000268103187147418,"58"
"1562",12,0.00015912948854858,"47"
"1563",13,0.000950537309539795,"4"
"1564",14,8.28644376999804e-05,"75"
"1565",15,0.000170003002928492,"20"
"1566",16,0.000426092463384463,"29"
"1567",17,0.000160027650040976,"69"
"1568",18,0.000216251749890451,"61"
"1569",19,0.000169457408613442,"60"
"1570",20,2.56742950651129e-05,"52"
"1571",21,8.60938587354022e-05,"27"
"1572",22,0.00113805601612983,"5"
"1573",23,0.00103735289817309,"4"
"1574",24,8.09510563333174e-05,"10"
"1575",25,0.000249228825033899,"7"
"1576",26,0.000110513062682565,"24"
"1577",27,0.000320148133526511,"35"
"1578",28,0.000571535604727108,"14"
"1579",29,0.000527372494755177,"22"
"1580",30,0.00023212041072108,"52"
"1581",31,0.00019197405809573,"77"
"1582",32,3.52292337716531e-05,"49"
"1583",33,3.8526602704696e-05,"24"
"1584",34,0.000215827301900908,"27"
"1585",35,0.000552708752733544,"20"
"1586",36,8.88774181031171e-05,"158"
"1587",37,3.70493025641313e-05,"136"
"1588",38,0.000144168717764947,"48"
"1589",39,0.000194055472997611,"105"
"1590",40,0.000189786712304958,"21"
"1591",41,0.00148551550710456,"2"
"1592",42,0.000221016092484134,"45"
"1593",43,1.47614050817445e-05,"42"
"1594",44,0.000268839646808189,"59"
"1595",45,0.000149782370810333,"69"
"1596",46,0.000169722106840666,"40"
"1597",47,0.000246864330871332,"62"
"1598",48,0.000213597797987122,"10"
"1599",49,0.000204101521185468,"26"
"1600",50,4.54250441650271e-05,"104"
"1601",1,0.00629546644853756,"1"
"1602",2,0.000197198306070635,"20"
"1603",3,0.000127565561184154,"24"
"1604",4,0.00012037352013604,"24"
"1605",5,0.000358304713224927,"10"
"1606",6,0.000175580884775229,"96"
"1607",7,0.00061289930063724,"15"
"1608",8,0.000172792357274962,"52"
"1609",9,7.26907334082066e-05,"86"
"1610",10,0.000831924434528827,"10"
"1611",11,0.000267633387890063,"58"
"1612",12,0.00015925219350759,"47"
"1613",13,0.00095225270530454,"4"
"1614",14,8.30464356392633e-05,"75"
"1615",15,0.000170151556883951,"20"
"1616",16,0.000426114623654349,"29"
"1617",17,0.000160097363024546,"69"
"1618",18,0.000216394388410375,"61"
"1619",19,0.000169662954024049,"60"
"1620",20,2.54474300996795e-05,"52"
"1621",21,8.64112243094984e-05,"27"
"1622",22,0.00113942663884968,"5"
"1623",23,0.00103620786735198,"4"
"1624",24,8.09731937879776e-05,"10"
"1625",25,0.000249326945137759,"7"
"1626",26,0.000110659645382384,"24"
"1627",27,0.000320166204281327,"35"
"1628",28,0.000569837096778108,"14"
"1629",29,0.000527445345306752,"22"
"1630",30,0.000232286804101239,"52"
"1631",31,0.000191905219285551,"77"
"1632",32,3.49212830939895e-05,"49"
"1633",33,3.86297887217121e-05,"24"
"1634",34,0.000216047041939471,"27"
"1635",35,0.000552903236567918,"20"
"1636",36,8.89724190104728e-05,"158"
"1637",37,3.71994503395475e-05,"136"
"1638",38,0.000144226876354682,"48"
"1639",39,0.000194046966368003,"105"
"1640",40,0.000189942782800899,"21"
"1641",41,0.00145353719505937,"2"
"1642",42,0.000221177400644419,"45"
"1643",43,1.56056705566462e-05,"42"
"1644",44,0.000269010738182058,"59"
"1645",45,0.000149997595657597,"69"
"1646",46,0.000170119999660632,"40"
"1647",47,0.000246648278912986,"62"
"1648",48,0.000213040383618582,"10"
"1649",49,0.000204204743014853,"26"
"1650",50,4.56069766080666e-05,"104"
"1651",1,0.00617059018925909,"1"
"1652",2,0.000197502710424879,"20"
"1653",3,0.000127293656306596,"24"
"1654",4,0.000119983747116571,"24"
"1655",5,0.000357381195473256,"10"
"1656",6,0.000175539645203513,"96"
"1657",7,0.000613179911803173,"15"
"1658",8,0.000172907478955641,"52"
"1659",9,7.28123951358281e-05,"86"
"1660",10,0.000832508732031265,"10"
"1661",11,0.000267165186988404,"58"
"1662",12,0.000159369147782247,"47"
"1663",13,0.000953990049898699,"4"
"1664",14,8.32276904086456e-05,"75"
"1665",15,0.000170301221551351,"20"
"1666",16,0.000426139226234777,"29"
"1667",17,0.000160168018635468,"69"
"1668",18,0.000216534674430336,"61"
"1669",19,0.00016986617440239,"60"
"1670",20,2.52281227053576e-05,"52"
"1671",21,8.67289529041143e-05,"27"
"1672",22,0.00114082583765609,"5"
"1673",23,0.00103507302969799,"4"
"1674",24,8.09954690261475e-05,"10"
"1675",25,0.00024942669411347,"7"
"1676",26,0.0001108061986838,"24"
"1677",27,0.000320187422630333,"35"
"1678",28,0.000568134511484981,"14"
"1679",29,0.000527520066522927,"22"
"1680",30,0.000232451406957287,"52"
"1681",31,0.000191838319232168,"77"
"1682",32,3.46076638442262e-05,"49"
"1683",33,3.87347635962545e-05,"24"
"1684",34,0.000216265264788565,"27"
"1685",35,0.000553102753378247,"20"
"1686",36,8.90682081170826e-05,"158"
"1687",37,3.73534564491716e-05,"136"
"1688",38,0.000144285151000165,"48"
"1689",39,0.000194039038534983,"105"
"1690",40,0.000190100100986624,"21"
"1691",41,0.00142236352580084,"2"
"1692",42,0.000221339667321698,"45"
"1693",43,1.65606687520576e-05,"42"
