"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96"
"V57",700,1,31,2,700,2,25,1,700,3,53,1,700,4,34,0,700,5,41,0,700,6,53,0,700,7,58,0,700,8,43,0,200,1,10,30,200,2,20,0,200,3,24,0,200,4,22,0,200,5,31,0,200,6,44,0,200,7,32,0,200,8,45,0,500,1,27,29,500,2,23,2,500,3,24,0,500,4,40,0,500,5,46,0,500,6,38,0,500,7,51,0,500,8,70,1
"V58",700,1,31,7,700,2,40,2,700,3,54,0,700,4,58,0,700,5,72,0,700,6,80,0,700,7,63,0,700,8,69,0,200,1,34,0,200,2,20,2,200,3,17,0,200,4,23,0,200,5,24,0,200,6,30,0,200,7,35,0,200,8,25,0,500,1,16,8,500,2,56,0,500,3,24,0,500,4,41,0,500,5,36,0,500,6,52,0,500,7,58,0,500,8,58,0
"V59",700,1,24,23,700,2,60,0,700,3,74,0,700,4,42,0,700,5,71,0,700,6,64,0,700,7,58,0,700,8,55,0,200,1,28,0,200,2,14,0,200,3,31,0,200,4,29,1,200,5,20,1,200,6,23,0,200,7,35,0,200,8,31,0,500,1,22,39,500,2,68,2,500,3,57,0,500,4,58,0,500,5,34,0,500,6,41,1,500,7,75,0,500,8,67,0
"V60",700,1,16,58,700,2,30,1,700,3,48,0,700,4,41,0,700,5,54,0,700,6,43,0,700,7,53,0,700,8,89,0,200,1,31,1,200,2,20,0,200,3,32,0,200,4,22,0,200,5,26,0,200,6,27,0,200,7,29,0,200,8,50,0,500,1,17,15,500,2,53,2,500,3,49,0,500,4,42,0,500,5,45,0,500,6,46,0,500,7,55,0,500,8,74,0
"V61",700,1,50,8,700,2,25,0,700,3,25,0,700,4,50,0,700,5,61,1,700,6,56,0,700,7,55,0,700,8,67,0,200,1,16,13,200,2,21,1,200,3,35,0,200,4,33,0,200,5,20,0,200,6,28,0,200,7,32,0,200,8,29,0,500,1,30,9,500,2,18,0,500,3,31,0,500,4,46,1,500,5,40,0,500,6,50,0,500,7,59,0,500,8,47,0
"V62",700,1,33,10,700,2,43,2,700,3,34,2,700,4,35,0,700,5,91,0,700,6,55,0,700,7,71,0,700,8,71,0,200,1,28,4,200,2,15,0,200,3,23,1,200,4,22,0,200,5,38,0,200,6,26,0,200,7,28,0,200,8,39,0,500,1,14,48,500,2,37,1,500,3,46,1,500,4,54,0,500,5,42,0,500,6,56,0,500,7,49,1,500,8,47,0
"V63",700,1,28,9,700,2,47,0,700,3,39,1,700,4,42,0,700,5,39,0,700,6,72,0,700,7,67,0,700,8,70,1,200,1,13,3,200,2,24,0,200,3,35,0,200,4,24,0,200,5,24,0,200,6,24,0,200,7,31,0,200,8,45,0,500,1,22,25,500,2,38,3,500,3,48,0,500,4,56,1,500,5,38,0,500,6,68,0,500,7,57,0,500,8,68,0
"V64",700,1,53,12,700,2,22,5,700,3,22,1,700,4,44,0,700,5,37,0,700,6,69,0,700,7,73,0,700,8,73,0,200,1,20,13,200,2,17,1,200,3,18,1,200,4,36,1,200,5,30,0,200,6,30,0,200,7,38,0,200,8,43,0,500,1,16,10,500,2,35,0,500,3,29,1,500,4,51,0,500,5,44,0,500,6,53,0,500,7,57,0,500,8,72,0
"V65",700,1,17,22,700,2,54,1,700,3,34,0,700,4,66,0,700,5,68,0,700,6,73,0,700,7,59,0,700,8,61,0,200,1,21,8,200,2,19,0,200,3,14,0,200,4,36,0,200,5,23,0,200,6,26,0,200,7,29,0,200,8,39,0,500,1,35,13,500,2,33,1,500,3,26,1,500,4,38,0,500,5,53,0,500,6,46,0,500,7,45,0,500,8,68,0
"V66",700,1,33,22,700,2,35,2,700,3,70,1,700,4,63,0,700,5,47,0,700,6,90,0,700,7,51,0,700,8,79,0,200,1,11,17,200,2,15,0,200,3,21,0,200,4,31,0,200,5,23,0,200,6,24,0,200,7,24,0,200,8,22,0,500,1,35,2,500,2,36,1,500,3,33,0,500,4,32,0,500,5,31,0,500,6,53,0,500,7,56,0,500,8,62,0
