"","Pasos","Dimension","Valor M","Tiempo"
"V825","50","6",9,0.00087285041809082
"V835","50","6",22,0.000794887542724609
"V845","50","6",16,0.000817060470581055
"V855","50","6",15,0.000796079635620117
"V865","50","6",15,0.000838994979858398
"V875","50","6",16,0.000802993774414062
"V885","50","6",18,0.000818014144897461
"V895","50","6",18,0.00150108337402344
"V905","50","6",10,0.00220203399658203
"V919","50","6",22,0.00140500068664551
"V925","50","6",11,0.00108194351196289
"V935","50","6",21,0.000805139541625977
"V945","50","6",11,0.0021669864654541
"V955","50","6",17,0.0013880729675293
"V965","50","6",10,0.00134611129760742
"V975","50","6",19,0.000809907913208008
"V985","50","6",11,0.00079798698425293
"V995","50","6",15,0.000794887542724609
"V1005","50","6",14,0.000813007354736328
"V120","50","7",15,0.00155019760131836
"V220","50","7",14,0.000803947448730469
"V320","50","7",16,0.000806093215942383
"V420","50","7",20,0.000818014144897461
"V520","50","7",12,0.000808954238891602
"V620","50","7",12,0.000800132751464844
"V720","50","7",15,0.000837087631225586
"V820","50","7",26,0.00085902214050293
"V920","50","7",15,0.00153493881225586
"V106","50","7",12,0.000818967819213867
"V1110","50","7",14,0.00200819969177246
"V126","50","7",15,0.000794887542724609
"V136","50","7",18,0.000941038131713867
"V146","50","7",21,0.000793933868408203
"V156","50","7",17,0.000793933868408203
"V166","50","7",14,0.000792980194091797
"V176","50","7",11,0.00701498985290527
"V186","50","7",16,0.00145387649536133
"V196","50","7",14,0.000808954238891602
"V206","50","7",20,0.000813961029052734
"V2110","50","7",17,0.000822067260742188
"V226","50","7",19,0.000906944274902344
"V236","50","7",18,0.000817060470581055
"V246","50","7",14,0.000819206237792969
"V256","50","7",18,0.000799894332885742
"V266","50","7",10,0.00111985206604004
"V276","50","7",17,0.00307416915893555
"V286","50","7",17,0.00136113166809082
"V296","50","7",13,0.00136303901672363
"V306","50","7",20,0.00134992599487305
"V3110","50","7",20,0.00215315818786621
"V326","50","7",22,0.00141406059265137
"V336","50","7",18,0.00139904022216797
"V346","50","7",12,0.00132513046264648
"V356","50","7",21,0.00145792961120605
"V366","50","7",14,0.00142192840576172
"V376","50","7",18,0.00143098831176758
"V386","50","7",15,0.0028529167175293
"V396","50","7",19,0.00143098831176758
"V406","50","7",13,0.00143885612487793
"V4110","50","7",13,0.00141501426696777
"V426","50","7",12,0.00142002105712891
"V436","50","7",22,0.00141286849975586
"V446","50","7",12,0.000951051712036133
"V456","50","7",14,0.000804901123046875
"V466","50","7",12,0.000799894332885742
"V476","50","7",19,0.000784873962402344
"V486","50","7",17,0.000807046890258789
"V496","50","7",20,0.000792980194091797
"V506","50","7",19,0.000791072845458984
"V5110","50","7",30,0.000807046890258789
"V526","50","7",17,0.0014338493347168
"V536","50","7",15,0.00145292282104492
"V546","50","7",18,0.00319600105285645
"V556","50","7",16,0.00139188766479492
"V566","50","7",16,0.00135111808776855
"V576","50","7",15,0.00134515762329102
"V586","50","7",11,0.00135493278503418
"V596","50","7",14,0.00137901306152344
"V606","50","7",19,0.00134992599487305
"V6110","50","7",20,0.000975131988525391
"V626","50","7",13,0.000815153121948242
"V636","50","7",15,0.000783920288085938
"V646","50","7",19,0.000810861587524414
"V656","50","7",13,0.000802993774414062
"V666","50","7",14,0.00109386444091797
"V676","50","7",16,0.00077509880065918
"V686","50","7",15,0.00144600868225098
"V696","50","7",10,0.00147199630737305
"V706","50","7",14,0.00142312049865723
"V7110","50","7",13,0.00145697593688965
"V726","50","7",14,0.00120091438293457
"V736","50","7",18,0.00138711929321289
"V746","50","7",17,0.00148296356201172
"V756","50","7",10,0.00143194198608398
"V766","50","7",16,0.00143694877624512
"V776","50","7",19,0.00147509574890137
"V786","50","7",20,0.00234484672546387
"V796","50","7",20,0.000806093215942383
"V806","50","7",19,0.000794887542724609
"V8110","50","7",20,0.000790119171142578
"V826","50","7",14,0.00078892707824707
"V836","50","7",19,0.00113892555236816
"V846","50","7",22,0.00147819519042969
"V856","50","7",15,0.00146293640136719
